ordinal,id,name,start_date,end_date,replaces,replaced_by
26,Q182276,Benito Juárez,1871-12-01,1872-07-18,Q182276,Q316210
31,Q316210,Sebastián Lerdo de Tejada,1872-07-18,1872-11-30,Q182276,Q316210
31,Q316210,Sebastián Lerdo de Tejada,1872-12-01,1876-11-20,Q316210,Q1196814
32,Q1196814,José María Iglesias,1876-10-26,1876-11-28,Q316210,Q150688
33,Q150688,Porfirio Díaz,1876-11-28,1876-12-06,Q1196814,Q519806
34,Q519806,Juan Nepomuceno Méndez,1876-12-06,1877-02-17,Q150688,Q150688
0,Q150688,Porfirio Díaz,1877-02-17,1880-11-30,Q519806,Q380975
35,Q380975,Manuel González Flores,1880-12-01,1884-11-30,Q150688,Q150688
0,Q150688,Porfirio Díaz,1884-12-01,1888-11-30,Q380975,Q150688
0,Q150688,Porfirio Díaz,1888-12-01,1892-11-30,Q150688,Q150688
0,Q150688,Porfirio Díaz,1892-12-01,1896-11-30,Q150688,Q150688
0,Q150688,Porfirio Díaz,1896-12-01,1900-11-30,Q150688,Q150688
0,Q150688,Porfirio Díaz,1900-12-01,1904-11-30,Q150688,Q150688
0,Q150688,Porfirio Díaz,1904-12-01,1910-11-30,Q150688,Q150688
0,Q150688,Porfirio Díaz,1910-12-01,1911-05-25,Q150688,Q365409
36,Q365409,Francisco León de la Barra,1911-05-25,1911-11-05,Q150688,Q216766
37,Q216766,Francisco I. Madero,1911-11-06,1913-02-19,Q365409,Q315621
38,Q315621,Pedro Lascuráin,1913-02-19,1913-02-19,Q216766,Q299168
39,Q299168,Victoriano Huerta,1913-02-19,1914-07-15,Q315621,Q372164
40,Q372164,Francisco S. Carvajal,1914-07-15,1914-08-13,Q299168,Q2001442
41,Q2001442,Eulalio Gutiérrez,1914-11-06,1915-01-16,Q372164,Q148075
42,Q148075,Roque González Garza,1915-01-16,1915-06-10,Q2001442,Q148065
43,Q148065,Francisco Lagos Cházaro,1915-06-10,1915-10-10,Q148075,Q313122
44,Q313122,Venustiano Carranza,,,Q148065,Q313122
44,Q313122,Venustiano Carranza,1914-08-13,1917-04-30,Q313122,Q313122
44,Q313122,Venustiano Carranza,1917-05-01,1920-05-21,Q313122,Q137865
45,Q137865,Adolfo de la Huerta,1920-06-01,1920-11-30,Q313122,Q217498
46,Q217498,Álvaro Obregón,1920-12-01,1924-11-30,Q137865,Q315066
47,Q315066,Plutarco Elías Calles,1924-12-01,1928-11-30,Q217498,Q380982
48,Q380982,Emilio Portes Gil,1928-12-01,1930-02-04,Q315066,Q455683
49,Q455683,Pascual Ortiz Rubio,1930-02-05,1932-09-04,Q380982,Q115328
50,Q115328,Abelardo L. Rodríguez,1932-09-04,1934-11-30,Q455683,Q296718
51,Q296718,Lázaro Cárdenas,1934-12-01,1940-11-30,Q115328,Q315626
52,Q315626,Manuel Ávila Camacho,1940-12-01,1946-11-30,Q296718,Q315615
53,Q315615,Miguel Alemán Valdés,1946-12-01,1952-11-30,Q315626,Q327920
54,Q327920,Adolfo Ruiz Cortines,1952-12-01,1958-11-30,Q315615,Q335533
55,Q335533,Adolfo López Mateos,1958-12-01,1964-11-30,Q327920,Q315637
56,Q315637,Gustavo Díaz Ordaz,1964-12-01,1970-11-30,Q335533,Q317681
57,Q317681,Luis Echeverría,1970-12-01,1976-11-30,Q315637,Q315613
58,Q315613,José López Portillo,1976-12-01,1982-11-30,Q317681,Q296691
59,Q296691,Miguel de la Madrid,1982-12-01,1988-11-30,Q315613,Q315633
60,Q315633,Carlos Salinas de Gortari,1988-12-01,1994-11-30,Q296691,Q298149
61,Q298149,Ernesto Zedillo,1994-12-01,2000-11-30,Q315633,Q190572
62,Q190572,Vicente Fox,2000-12-01,2006-11-30,Q298149,Q57269
63,Q57269,Felipe Calderón,2006-12-01,2012-11-30,Q190572,Q296741
64,Q296741,Enrique Peña Nieto,2012-12-01,2018-11-30,Q57269,Q318508
65,Q318508,Andrés Manuel López Obrador,2018-12-01,,Q296741,
